lang,kind,number,gender,case,v1,v2,change
sk,cardinal,21,neuter,accusative,dvadsaťjedno,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,neuter,instrumental,dvadsiatymjedným,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,21,neuter,locative,dvadsiatomjednom,dvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,29,masculine,genitive,dvadsiatehodeviateho,dvadsiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,masculine,dative,dvadsiatemudeviatemu,dvadsiatim deviatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,masculine,instrumental,dvadsiatymdeviatym,dvadsiatimi deviatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,masculine,locative,dvadsiatomdeviatom,dvadsiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,feminine,genitive,dvadsiatehodeviatej,dvadsiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,feminine,dative,dvadsiatemudeviatej,dvadsiatim deviatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,feminine,instrumental,dvadsiatymdeviatou,dvadsiatimi deviatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,feminine,locative,dvadsiatomdeviatej,dvadsiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,neuter,genitive,dvadsiatehodeviateho,dvadsiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,neuter,dative,dvadsiatemudeviatemu,dvadsiatim deviatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,neuter,instrumental,dvadsiatymdeviatym,dvadsiatimi deviatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,29,neuter,locative,dvadsiatomdeviatom,dvadsiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,masculine,genitive,štyridsiatehopiateho,štyridsiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,masculine,dative,štyridsiatemupiatemu,štyridsiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,masculine,instrumental,štyridsiatympiatym,štyridsiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,masculine,locative,štyridsiatompiatom,štyridsiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,feminine,genitive,štyridsiatehopiatej,štyridsiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,feminine,dative,štyridsiatemupiatej,štyridsiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,feminine,instrumental,štyridsiatympiatou,štyridsiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,feminine,locative,štyridsiatompiatej,štyridsiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,neuter,genitive,štyridsiatehopiateho,štyridsiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,neuter,dative,štyridsiatemupiatemu,štyridsiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,neuter,instrumental,štyridsiatympiatym,štyridsiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,45,neuter,locative,štyridsiatompiatom,štyridsiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,masculine,genitive,päťdesiatehopiateho,päťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,masculine,dative,päťdesiatemupiatemu,päťdesiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,masculine,instrumental,päťdesiatympiatym,päťdesiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,masculine,locative,päťdesiatompiatom,päťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,feminine,genitive,päťdesiatehopiatej,päťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,feminine,dative,päťdesiatemupiatej,päťdesiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,feminine,instrumental,päťdesiatympiatou,päťdesiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,feminine,locative,päťdesiatompiatej,päťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,neuter,genitive,päťdesiatehopiateho,päťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,neuter,dative,päťdesiatemupiatemu,päťdesiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,neuter,instrumental,päťdesiatympiatym,päťdesiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,55,neuter,locative,päťdesiatompiatom,päťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,masculine,genitive,osemdesiatehoôsmeho,osemdesiatich ôsmich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,masculine,dative,osemdesiatemuôsmemu,osemdesiatim ôsmim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,masculine,instrumental,osemdesiatymôsmym,osemdesiatimi ôsmimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,masculine,locative,osemdesiatomôsmom,osemdesiatich ôsmich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,feminine,genitive,osemdesiatehoôsmej,osemdesiatich ôsmich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,feminine,dative,osemdesiatemuôsmej,osemdesiatim ôsmim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,feminine,instrumental,osemdesiatymôsmou,osemdesiatimi ôsmimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,feminine,locative,osemdesiatomôsmej,osemdesiatich ôsmich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,neuter,genitive,osemdesiatehoôsmeho,osemdesiatich ôsmich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,neuter,dative,osemdesiatemuôsmemu,osemdesiatim ôsmim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,neuter,instrumental,osemdesiatymôsmym,osemdesiatimi ôsmimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,88,neuter,locative,osemdesiatomôsmom,osemdesiatich ôsmich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,masculine,genitive,deväťdesiatehodeviateho,deväťdesiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,masculine,dative,deväťdesiatemudeviatemu,deväťdesiatim deviatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,masculine,instrumental,deväťdesiatymdeviatym,deväťdesiatimi deviatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,masculine,locative,deväťdesiatomdeviatom,deväťdesiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,feminine,genitive,deväťdesiatehodeviatej,deväťdesiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,feminine,dative,deväťdesiatemudeviatej,deväťdesiatim deviatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,feminine,instrumental,deväťdesiatymdeviatou,deväťdesiatimi deviatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,feminine,locative,deväťdesiatomdeviatej,deväťdesiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,neuter,genitive,deväťdesiatehodeviateho,deväťdesiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,neuter,dative,deväťdesiatemudeviatemu,deväťdesiatim deviatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,neuter,instrumental,deväťdesiatymdeviatym,deväťdesiatimi deviatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,99,neuter,locative,deväťdesiatomdeviatom,deväťdesiatich deviatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,100,masculine,genitive,stého,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,masculine,dative,stému,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,masculine,instrumental,stým,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,masculine,locative,stom,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,feminine,nominative,stá,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,feminine,genitive,stej,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,feminine,dative,stej,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,feminine,accusative,stú,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,feminine,instrumental,stou,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,feminine,locative,stej,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,neuter,nominative,sté,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,neuter,genitive,stého,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,neuter,dative,stému,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,neuter,accusative,sté,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,neuter,instrumental,stým,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,100,neuter,locative,stom,sto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,101,masculine,genitive,stojedného,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,masculine,dative,stojednému,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,masculine,accusative,stojedného,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,masculine,instrumental,stojedným,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,masculine,locative,stojednom,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,feminine,nominative,stájedna,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,feminine,genitive,stájednej,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,feminine,dative,stájednej,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,feminine,accusative,stájednu,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,feminine,instrumental,stájednou,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,feminine,locative,stájednej,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,neuter,nominative,stéjedno,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,neuter,genitive,stéjedného,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,neuter,dative,stéjednému,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,neuter,accusative,stéjedno,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,neuter,instrumental,stéjedným,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,101,neuter,locative,stéjednom,stojeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,112,feminine,nominative,stádvanásť,stodvanásť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,feminine,genitive,stádvanástich,stodvanástich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,feminine,dative,stádvanástim,stodvanástim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,feminine,accusative,stádvanásť,stodvanásť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,feminine,instrumental,stádvanástimi,stodvanástimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,feminine,locative,stádvanástich,stodvanástich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,neuter,nominative,stédvanásť,stodvanásť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,neuter,genitive,stédvanástich,stodvanástich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,neuter,dative,stédvanástim,stodvanástim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,neuter,accusative,stédvanásť,stodvanásť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,neuter,instrumental,stédvanástimi,stodvanástimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,112,neuter,locative,stédvanástich,stodvanástich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,feminine,nominative,stádvadsať,stodvadsať,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,feminine,genitive,stádvadsiatich,stodvadsiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,feminine,dative,stádvadsiatim,stodvadsiatim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,feminine,accusative,stádvadsať,stodvadsať,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,feminine,instrumental,stádvadsiatimi,stodvadsiatimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,feminine,locative,stádvadsiatich,stodvadsiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,neuter,nominative,stédvadsať,stodvadsať,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,neuter,genitive,stédvadsiatich,stodvadsiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,neuter,dative,stédvadsiatim,stodvadsiatim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,neuter,accusative,stédvadsať,stodvadsať,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,neuter,instrumental,stédvadsiatimi,stodvadsiatimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,120,neuter,locative,stédvadsiatich,stodvadsiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,121,masculine,genitive,stodvadsiatehojedného,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,masculine,dative,stodvadsiatemujednému,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,masculine,accusative,stodvadsaťjedného,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,masculine,instrumental,stodvadsiatymjedným,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,masculine,locative,stodvadsiatomjednom,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,feminine,nominative,stádvadsaťjedna,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,feminine,genitive,stádvadsiatehojednej,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,feminine,dative,stádvadsiatemujednej,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,feminine,accusative,stádvadsaťjednu,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,feminine,instrumental,stádvadsiatymjednou,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,feminine,locative,stádvadsiatomjednej,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,neuter,nominative,stédvadsaťjedno,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,neuter,genitive,stédvadsiatehojedného,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,neuter,dative,stédvadsiatemujednému,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,neuter,accusative,stédvadsaťjedno,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,neuter,instrumental,stédvadsiatymjedným,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,121,neuter,locative,stédvadsiatomjednom,stodvadsaťjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,150,feminine,nominative,stápäťdesiat,stopäťdesiat,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,feminine,genitive,stápäťdesiatich,stopäťdesiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,feminine,dative,stápäťdesiatim,stopäťdesiatim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,feminine,accusative,stápäťdesiat,stopäťdesiat,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,feminine,instrumental,stápäťdesiatimi,stopäťdesiatimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,feminine,locative,stápäťdesiatich,stopäťdesiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,neuter,nominative,stépäťdesiat,stopäťdesiat,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,neuter,genitive,stépäťdesiatich,stopäťdesiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,neuter,dative,stépäťdesiatim,stopäťdesiatim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,neuter,accusative,stépäťdesiat,stopäťdesiat,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,neuter,instrumental,stépäťdesiatimi,stopäťdesiatimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,150,neuter,locative,stépäťdesiatich,stopäťdesiatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,151,masculine,genitive,stopäťdesiatehojedného,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,masculine,dative,stopäťdesiatemujednému,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,masculine,accusative,stopäťdesiatjedného,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,masculine,instrumental,stopäťdesiatymjedným,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,masculine,locative,stopäťdesiatomjednom,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,feminine,nominative,stápäťdesiatjedna,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,feminine,genitive,stápäťdesiatehojednej,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,feminine,dative,stápäťdesiatemujednej,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,feminine,accusative,stápäťdesiatjednu,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,feminine,instrumental,stápäťdesiatymjednou,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,feminine,locative,stápäťdesiatomjednej,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,neuter,nominative,stépäťdesiatjedno,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,neuter,genitive,stépäťdesiatehojedného,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,neuter,dative,stépäťdesiatemujednému,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,neuter,accusative,stépäťdesiatjedno,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,neuter,instrumental,stépäťdesiatymjedným,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,151,neuter,locative,stépäťdesiatomjednom,stopäťdesiatjeden,"-jeden compounds: invariable, 'jeden' for every gender"
sk,cardinal,195,masculine,genitive,stodeväťdesiatehopiateho,stodeväťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,195,masculine,dative,stodeväťdesiatemupiatemu,stodeväťdesiatim piatim,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,195,masculine,instrumental,stodeväťdesiatympiatym,stodeväťdesiatimi piatimi,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,195,masculine,locative,stodeväťdesiatompiatom,stodeväťdesiatich piatich,22–99 decline both parts as cardinals: dvadsiatich dvoch (v1 used ordinal forms)
sk,cardinal,195,feminine,nominative,stádeväťdesiatpäť,stodeväťdesiatpäť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,feminine,genitive,stádeväťdesiatehopiatej,stodeväťdesiatich piatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,feminine,dative,stádeväťdesiatemupiatej,stodeväťdesiatim piatim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,feminine,accusative,stádeväťdesiatpäť,stodeväťdesiatpäť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,feminine,instrumental,stádeväťdesiatympiatou,stodeväťdesiatimi piatimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,feminine,locative,stádeväťdesiatompiatej,stodeväťdesiatich piatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,neuter,nominative,stédeväťdesiatpäť,stodeväťdesiatpäť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,neuter,genitive,stédeväťdesiatehopiateho,stodeväťdesiatich piatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,neuter,dative,stédeväťdesiatemupiatemu,stodeväťdesiatim piatim,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,neuter,accusative,stédeväťdesiatpäť,stodeväťdesiatpäť,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,neuter,instrumental,stédeväťdesiatympiatym,stodeväťdesiatimi piatimi,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,195,neuter,locative,stédeväťdesiatompiatom,stodeväťdesiatich piatich,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,masculine,genitive,dvestého,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,masculine,dative,dvestému,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,masculine,instrumental,dvestým,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,masculine,locative,dvestom,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,feminine,nominative,dvestá,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,feminine,genitive,dvestej,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
sk,cardinal,200,feminine,dative,dvestej,dvesto,"sto, dvesto… are invariable (stého/stá are ordinals)"
